"Variable","Mean","Median","Mode","Minimum","Maximum","Range","SD","Variance","Q1","Q3","IQR"
"Rating",4.17130926724138,4.3,4.4,1,5,4,0.549729444179082,0.302202461797443,4,4.5,0.5
"Reviews",278773.976023718,2067,2,1,44893888,44893887,1743621.4046349,3040215602701,99,36894.75,36795.75
"Size",37.5683863146552,16,14,1,994,993,94.9634747103719,9018.06152906744,5.9,37,31.1
"Installs",7823917.7960671,1e+05,1e+06,1,1e+09,999999999,46304106.2883926,2144070259166761,10000,1e+06,990000
"Price",1.11659886853449,0,0,0,400,400,17.708565558584,313.593294142667,0,0,0
